"ch","part","comp","whole","idx","len","x","y","w","h"
"擤","1","鼻","鼻","0","0","77","12","168","231"
"擯","0","扌","抒","0","3","8","15","80","222"
"擯","1","賓","鬢","10","14","85","32","167","216"
"擷","0","扌","搜","0","3","8","15","80","222"
"擷","1","頡","頡","0","0","72","14","182","230"
"攢","0","扌","拌","0","3","8","15","80","222"
"攢","1","贊","贊","0","0","85","13","156","241"
"敉","0","米","迷","3","6","3","13","119","224"
"敉","1","攵","改","3","4","115","16","111","234"
"敕","0","束","剌","0","7","8","13","130","231"
"敕","1","攵","數","11","4","122","11","124","237"
"斕","0","文","產","0","4","9","29","79","188"
"斕","1","闌","蘭","3","17","104","17","134","220"
"旮","0","九","旭","0","2","13","10","208","124"
"旮","1","日","暹","3","4","58","150","130","90"
"旯","0","日","暹","3","4","44","17","140","108"
"旯","1","九","軌","7","2","6","111","220","128"
"旰","0","日","暹","3","4","23","37","55","159"
"旰","1","干","干","0","0","88","24","159","211"
"昃","0","日","暹","3","4","60","29","135","71"
"昃","1","仄","仄","0","0","14","114","219","123"
"昇","0","日","暹","3","4","58","19","138","80"
"昇","1","升","升","0","0","20","118","212","125"
"昊","0","日","暹","3","4","52","20","142","81"
"昊","1","天","忝","0","4","19","127","213","121"
"昕","0","日","暹","3","4","19","21","64","175"
"昕","1","斤","折","3","4","84","9","157","236"
"昱","0","日","暹","3","4","57","31","142","93"
"昱","1","立","翌","6","5","19","120","222","116"
"昴","0","日","暹","3","4","64","22","142","64"
"昴","1","卯","柳","4","5","34","106","184","143"
"昵","0","日","暹","3","4","15","30","53","187"
"昵","1","尼","妮","3","5","89","12","154","236"
"晷","0","日","暹","3","4","61","16","127","76"
"晷","1","咎","咎","0","0","18","99","221","133"
"晾","0","日","暹","3","4","21","38","53","178"
"晾","1","京","諒","7","8","88","24","154","217"
"暄","0","日","暹","3","4","20","36","53","187"
"暄","1","宣","渲","3","9","81","10","159","236"
"暌","0","日","日","0","0","22","40","48","152"
"暌","1","癸","睽","5","9","81","29","161","207"
"暝","0","日","暹","3","4","21","29","53","187"
"暝","1","冥","冥","0","0","89","12","154","236"
"暱","0","日","暹","3","4","19","33","46","178"
"暱","1","匿","慝","0","11","86","31","152","197"
"曇","0","日","暹","3","4","59","18","139","56"
"曇","1","雲","雲","0","0","22","89","218","156"
"曜","0","日","暹","3","4","21","21","53","187"
"曜","1","翟","濯","3","14","83","25","154","214"
"曩","0","日","暹","3","4","56","17","144","41"
"曩","1","襄","嚷","3","17","9","61","243","184"
"杆","0","木","木","0","0","11","6","86","237"
"杆","1","干","刊","0","3","101","37","124","207"
"杈","0","木","機","0","4","4","14","104","231"
"杈","1","叉","叉","0","0","80","47","159","202"
"杓","0","木","渠","7","4","15","22","88","219"
"杓","1","勺","芍","3","3","93","20","131","220"
"杠","0","木","柏","0","4","12","13","104","231"
"杠","1","工","式","3","3","100","45","139","188"
"杪","0","木","渠","7","4","9","22","86","219"
"杪","1","少","鈔","8","4","91","27","156","210"
"杲","0","日","暹","3","4","47","14","156","88"
"杲","1","木","梨","7","4","3","112","234","138"
"杶","0","木","櫝","0","4","18","14","79","231"
"杶","1","屯","屯","0","0","99","27","139","220"
"杼","0","木","機","0","4","10","22","87","219"
"杼","1","予","予","0","0","91","41","145","199"
"枒","0","木","機","0","4","5","19","91","221"
"枒","1","牙","穿","5","4","92","34","149","205"
"枘","0","木","木","0","0","18","14","79","231"
"枘","1","內","內","0","0","117","27","115","220"
"枲","0","台","飴","8","5","35","15","193","123"
"枲","1","木","桑","6","4","14","150","227","100"
"枳","0","木","休","2","4","18","14","79","231"
"枳","1","只","只","0","0","101","21","139","220"
"枵","0","木","機","0","4","18","14","79","231"
"枵","1","号","號","0","5","88","17","162","221"
"枷","0","木","柵","0","4","9","14","86","219"
"枷","1","加","迦","3","5","87","20","142","220"
"柒","0","氵","漁","0","3","27","19","47","115"
"柒","1","七","七","0","0","70","25","168","101"
"柒","2","木","桑","6","4","2","138","243","108"
"柘","0","木","木","0","0","18","10","82","226"
"柘","1","石","拓","3","5","98","38","143","207"
"柙","0","木","檸","0","4","18","14","79","231"
"柙","1","甲","胛","6","5","123","34","107","202"
"柝","0","木","機","0","4","18","14","79","231"
"柝","1","斥","斥","0","0","90","19","146","230"
"柢","0","木","橘","0","4","18","14","79","231"
"柢","1","氐","氐","0","0","114","21","128","220"
"柰","0","木","休","2","4","9","16","231","105"
"柰","1","示","示","0","0","22","130","216","111"
"柲","0","木","柄","0","4","18","14","79","231"
"柲","1","必","必","0","0","91","17","156","228"
"栖","0","木","柄","0","4","11","21","96","217"
"栖","1","西","迺","3","6","96","35","147","194"
"栱","0","木","機","0","4","15","22","86","219"
"栱","1","共","共","0","0","97","20","139","220"
"桄","0","木","樓","0","4","18","14","79","231"
"桄","1","光","光","0","0","88","13","157","231"
"桎","0","木","渠","7","4","4","35","86","206"
"桎","1","至","至","0","0","91","37","145","203"
"桕","0","木","檸","0","4","18","14","79","231"
"桕","1","臼","臼","0","0","116","19","119","220"
"梏","0","木","機","0","4","15","22","90","219"
"梏","1","告","皓","5","7","96","21","155","220"
